"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Sierra Vista Elem","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Sierra Vista Elem","M","Filipino","Temporarily Doubled Up",2,"2010-2011"
"Sierra Vista Elem","M","Hispanic","Temporarily Doubled Up",11,"2010-2011"
"Sierra Vista Elem","M","White","Temporarily Doubled Up",7,"2010-2011"
"Susan B. Anthony Elem","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2010-2011"
"Susan B. Anthony Elem","F","Asian-Chinese","Temporarily Doubled Up",1,"2010-2011"
"Susan B. Anthony Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2010-2011"
"Susan B. Anthony Elem","F","Asian-Other","Temporarily Doubled Up",2,"2010-2011"
"Susan B. Anthony Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2010-2011"
"Susan B. Anthony Elem","F","Black or African American","Temporarily Doubled Up",8,"2010-2011"
"Susan B. Anthony Elem","F","Filipino","Temporarily Doubled Up",3,"2010-2011"
"Susan B. Anthony Elem","F","Hispanic","Temporarily Doubled Up",31,"2010-2011"
"Susan B. Anthony Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2010-2011"
"Susan B. Anthony Elem","F","Pac Islander-Hawaiian","Temporarily Doubled Up",3,"2010-2011"
"Susan B. Anthony Elem","F","White","Temporarily Doubled Up",28,"2010-2011"
"Susan B. Anthony Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2010-2011"
"Susan B. Anthony Elem","M","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Susan B. Anthony Elem","M","Asian-Vietnamese","Temporarily Doubled Up",4,"2010-2011"
"Susan B. Anthony Elem","M","Black or African American","Temporarily Doubled Up",12,"2010-2011"
"Susan B. Anthony Elem","M","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Susan B. Anthony Elem","M","Hispanic","Hotels/motels",3,"2010-2011"
"Susan B. Anthony Elem","M","Hispanic","Temporarily Doubled Up",33,"2010-2011"
"Susan B. Anthony Elem","M","White","Temporarily Doubled Up",32,"2010-2011"
"Susan B. Anthony Elem","M","White","Temporary Shelters",1,"2010-2011"
"Temescal Valley Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2010-2011"
"Temescal Valley Elem","F","Hispanic","Temporarily Doubled Up",9,"2010-2011"
"Temescal Valley Elem","F","White","Temporarily Doubled Up",7,"2010-2011"
"Temescal Valley Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Temescal Valley Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"Temescal Valley Elem","M","Black or African American","Temporarily Doubled Up",3,"2010-2011"
"Temescal Valley Elem","M","Hispanic","Temporarily Doubled Up",28,"2010-2011"
"Temescal Valley Elem","M","White","Temporarily Doubled Up",3,"2010-2011"
"Temescal Valley Elem","M","White","Temporarily Unsheltered",2,"2010-2011"
"Vandermolen Fundamental Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2010-2011"
"Vandermolen Fundamental Elem","F","Asian-Chinese","Temporarily Doubled Up",5,"2010-2011"
"Vandermolen Fundamental Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"Vandermolen Fundamental Elem","F","Asian-Laotian","Temporarily Doubled Up",3,"2010-2011"
"Vandermolen Fundamental Elem","F","Asian-Other","Temporarily Doubled Up",4,"2010-2011"
"Vandermolen Fundamental Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2010-2011"
"Vandermolen Fundamental Elem","F","Black or African American","Temporarily Doubled Up",21,"2010-2011"
"Vandermolen Fundamental Elem","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Vandermolen Fundamental Elem","F","Hispanic","Hotels/motels",1,"2010-2011"
"Vandermolen Fundamental Elem","F","Hispanic","Temporarily Doubled Up",133,"2010-2011"
"Vandermolen Fundamental Elem","F","Pac Islander-Other","Temporarily Doubled Up",2,"2010-2011"
"Vandermolen Fundamental Elem","F","White","Temporarily Doubled Up",34,"2010-2011"
"Vandermolen Fundamental Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Vandermolen Fundamental Elem","M","Asian-Asian Indian","Temporarily Doubled Up",3,"2010-2011"
"Vandermolen Fundamental Elem","M","Asian-Chinese","Temporarily Doubled Up",6,"2010-2011"
"Vandermolen Fundamental Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2010-2011"
"Vandermolen Fundamental Elem","M","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Vandermolen Fundamental Elem","M","Asian-Vietnamese","Temporarily Doubled Up",4,"2010-2011"
"Vandermolen Fundamental Elem","M","Black or African American","Temporarily Doubled Up",17,"2010-2011"
"Vandermolen Fundamental Elem","M","Filipino","Temporarily Doubled Up",10,"2010-2011"
"Vandermolen Fundamental Elem","M","Hispanic","Temporarily Doubled Up",132,"2010-2011"
"Vandermolen Fundamental Elem","M","Hispanic","Temporarily Unsheltered",1,"2010-2011"
"Vandermolen Fundamental Elem","M","Pac Islander-Hawaiian","Temporarily Doubled Up",1,"2010-2011"
"Vandermolen Fundamental Elem","M","Pac Islander-Other","Temporarily Doubled Up",2,"2010-2011"
"Vandermolen Fundamental Elem","M","White","Temporarily Doubled Up",25,"2010-2011"
"Vandermolen Fundamental Elem","M","White","Temporarily Unsheltered",1,"2010-2011"
"Vicentia Elementary","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Vicentia Elementary","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"Vicentia Elementary","F","Black or African American","Temporarily Doubled Up",3,"2010-2011"
"Vicentia Elementary","F","Filipino","Temporarily Doubled Up",1,"2010-2011"
"Vicentia Elementary","F","Hispanic","Hotels/motels",1,"2010-2011"
"Vicentia Elementary","F","Hispanic","Temporarily Doubled Up",27,"2010-2011"
"Vicentia Elementary","F","Hispanic","Temporarily Unsheltered",1,"2010-2011"
"Vicentia Elementary","F","Hispanic","Temporary Shelters",1,"2010-2011"
"Vicentia Elementary","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2010-2011"
"Vicentia Elementary","F","White","Temporarily Doubled Up",3,"2010-2011"
"Vicentia Elementary","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"Vicentia Elementary","M","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"Vicentia Elementary","M","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Vicentia Elementary","M","Hispanic","Hotels/motels",2,"2010-2011"
"Vicentia Elementary","M","Hispanic","Temporarily Doubled Up",43,"2010-2011"
"Vicentia Elementary","M","Hispanic","Temporarily Unsheltered",2,"2010-2011"
"Vicentia Elementary","M","Hispanic","Temporary Shelters",1,"2010-2011"
"Vicentia Elementary","M","White","Temporarily Doubled Up",6,"2010-2011"
"Vicentia Elementary","M","White","Temporarily Unsheltered",1,"2010-2011"
"Vicentia Elementary","M","White","Temporary Shelters",1,"2010-2011"
"Victress Bower School","F","White","Hotels/motels",1,"2010-2011"
"Victress Bower School","M","Hispanic","Temporarily Doubled Up",3,"2010-2011"
"William McKinley Elem","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","F","Asian-Laotian","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","F","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","F","Black or African American","Temporarily Doubled Up",9,"2010-2011"
"William McKinley Elem","F","Black or African American","Temporary Shelters",1,"2010-2011"
"William McKinley Elem","F","Filipino","Temporarily Doubled Up",5,"2010-2011"
"William McKinley Elem","F","Hispanic","Hotels/motels",1,"2010-2011"
"William McKinley Elem","F","Hispanic","Temporarily Doubled Up",22,"2010-2011"
"William McKinley Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","F","White","Temporarily Doubled Up",5,"2010-2011"
"William McKinley Elem","M","Asian-Laotian","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","M","Asian-Other","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","M","Asian-Vietnamese","Temporarily Doubled Up",2,"2010-2011"
"William McKinley Elem","M","Black or African American","Temporarily Doubled Up",7,"2010-2011"
"William McKinley Elem","M","Filipino","Temporarily Doubled Up",3,"2010-2011"
"William McKinley Elem","M","Hispanic","Temporarily Doubled Up",38,"2010-2011"
"William McKinley Elem","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2010-2011"
"William McKinley Elem","M","White","Temporarily Doubled Up",11,"2010-2011"
"William McKinley Elem","M","White","Temporary Shelters",1,"2010-2011"
"Woodrow Wilson Elem","F","Black or African American","Temporarily Doubled Up",1,"2010-2011"
"Woodrow Wilson Elem","F","Black or African American","Temporary Shelters",1,"2010-2011"
"Woodrow Wilson Elem","F","Hispanic","Temporarily Doubled Up",9,"2010-2011"
"Woodrow Wilson Elem","F","Pac Islander-Hawaiian","Temporarily Doubled Up",1,"2010-2011"
"Woodrow Wilson Elem","F","White","Temporarily Doubled Up",9,"2010-2011"
"Woodrow Wilson Elem","M","Black or African American","Temporarily Doubled Up",2,"2010-2011"
"Woodrow Wilson Elem","M","Hispanic","Temporarily Doubled Up",11,"2010-2011"
"Woodrow Wilson Elem","M","White","Hotels/motels",1,"2010-2011"
"Woodrow Wilson Elem","M","White","Temporarily Doubled Up",11,"2010-2011"
"Auburndale Int.","F","Black or African American","Temporarily Doubled Up",1,"2011-2012"
"Auburndale Int.","F","Hispanic","Hotels/motels",3,"2011-2012"
"Auburndale Int.","F","Hispanic","Temporarily Doubled Up",14,"2011-2012"
"Auburndale Int.","F","White","Temporarily Doubled Up",1,"2011-2012"
"Auburndale Int.","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2011-2012"
"Auburndale Int.","M","Black or African American","Temporarily Doubled Up",4,"2011-2012"
"Auburndale Int.","M","Black or African American","Temporary Shelters",1,"2011-2012"
"Auburndale Int.","M","Declined to state","Hotels/motels",1,"2011-2012"
"Auburndale Int.","M","Hispanic","Temporarily Doubled Up",9,"2011-2012"
"Auburndale Int.","M","Pac Islander-Hawaiian","Hotels/motels",1,"2011-2012"
"Auburndale Int.","M","White","Temporarily Doubled Up",2,"2011-2012"
"Ben Franklin Elem","F","Asian-Other","Temporarily Doubled Up",1,"2011-2012"
"Ben Franklin Elem","F","Hispanic","Hotels/motels",1,"2011-2012"
"Ben Franklin Elem","F","Hispanic","Temporarily Doubled Up",14,"2011-2012"
"Ben Franklin Elem","F","White","Temporarily Doubled Up",8,"2011-2012"
"Ben Franklin Elem","M","Asian-Other","Temporarily Doubled Up",1,"2011-2012"
"Ben Franklin Elem","M","Black or African American","Temporarily Doubled Up",2,"2011-2012"
"Ben Franklin Elem","M","Hispanic","Hotels/motels",2,"2011-2012"
"Ben Franklin Elem","M","Hispanic","Temporarily Doubled Up",29,"2011-2012"
"Ben Franklin Elem","M","White","Temporarily Doubled Up",3,"2011-2012"
"Ben Franklin Elem","M","White","Temporarily Unsheltered",1,"2011-2012"
"CA School for the Deaf-Riverside","M","Hispanic","Temporarily Doubled Up",1,"2011-2012"
"Centennial High","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2011-2012"
"Centennial High","F","Asian-Korean","Temporarily Doubled Up",1,"2011-2012"
"Centennial High","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2011-2012"
"Centennial High","F","Black or African American","Hotels/motels",2,"2011-2012"
"Centennial High","F","Black or African American","Temporarily Doubled Up",8,"2011-2012"
"Centennial High","F","Filipino","Temporarily Doubled Up",1,"2011-2012"
"Centennial High","F","Hispanic","Hotels/motels",5,"2011-2012"
"Centennial High","F","Hispanic","Temporarily Doubled Up",41,"2011-2012"
"Centennial High","F","Hispanic","Temporary Shelters",1,"2011-2012"
"Centennial High","F","Pac Islander-Hawaiian","Temporarily Doubled Up",3,"2011-2012"
"Centennial High","F","White","Temporarily Doubled Up",6,"2011-2012"
"Centennial High","F","White","Temporary Shelters",2,"2011-2012"
"Centennial High","M","American Indian/Alaskan Native","Hotels/motels",1,"2011-2012"
"Centennial High","M","Asian-Other","Temporarily Doubled Up",1,"2011-2012"
"Centennial High","M","Black or African American","Temporarily Doubled Up",13,"2011-2012"
"Centennial High","M","Black or African American","Temporarily Unsheltered",2,"2011-2012"
"Centennial High","M","Filipino","Temporarily Doubled Up",1,"2011-2012"
"Centennial High","M","Hispanic","Hotels/motels",1,"2011-2012"
"Centennial High","M","Hispanic","Temporarily Doubled Up",33,"2011-2012"
"Centennial High","M","Hispanic","Temporarily Unsheltered",1,"2011-2012"
"Centennial High","M","Hispanic","Temporary Shelters",1,"2011-2012"
"Centennial High","M","White","Hotels/motels",1,"2011-2012"
"Centennial High","M","White","Temporarily Doubled Up",7,"2011-2012"
"Centennial High","M","White","Temporary Shelters",1,"2011-2012"
"Centennial Vista","F","Hispanic","Temporarily Doubled Up",1,"2011-2012"
"Centennial Vista","M","Black or African American","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","F","Asian-Japanese","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","F","Asian-Other","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","F","Black or African American","Temporarily Doubled Up",3,"2011-2012"
"Cesar Chavez Academy","F","Filipino","Temporarily Doubled Up",2,"2011-2012"
"Cesar Chavez Academy","F","Hispanic","Hotels/motels",5,"2011-2012"
"Cesar Chavez Academy","F","Hispanic","Temporarily Doubled Up",68,"2011-2012"
"Cesar Chavez Academy","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","F","Pac Islander-Other","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","F","White","Hotels/motels",2,"2011-2012"
"Cesar Chavez Academy","F","White","Temporarily Doubled Up",21,"2011-2012"
"Cesar Chavez Academy","M","Asian-Japanese","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","M","Asian-Korean","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","M","Black or African American","Temporarily Doubled Up",2,"2011-2012"
"Cesar Chavez Academy","M","Filipino","Temporarily Doubled Up",3,"2011-2012"
"Cesar Chavez Academy","M","Hispanic","Hotels/motels",3,"2011-2012"
"Cesar Chavez Academy","M","Hispanic","Temporarily Doubled Up",60,"2011-2012"
"Cesar Chavez Academy","M","Pac Islander-Other","Temporarily Doubled Up",1,"2011-2012"
"Cesar Chavez Academy","M","White","Hotels/motels",1,"2011-2012"
"Cesar Chavez Academy","M","White","Temporarily Doubled Up",22,"2011-2012"
"Citrus Hills Int","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","F","Asian-Other","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","F","Black or African American","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","F","Filipino","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","F","Hispanic","Temporarily Doubled Up",16,"2011-2012"
"Citrus Hills Int","F","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","F","White","Hotels/motels",1,"2011-2012"
"Citrus Hills Int","F","White","Temporarily Doubled Up",14,"2011-2012"
"Citrus Hills Int","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2011-2012"
"Citrus Hills Int","M","Asian-Other","Temporarily Doubled Up",2,"2011-2012"
"Citrus Hills Int","M","Black or African American","Temporarily Doubled Up",2,"2011-2012"
"Citrus Hills Int","M","Declined to state","Temporarily Doubled Up",1,"2011-2012"
"Citrus Hills Int","M","Hispanic","Temporarily Doubled Up",15,"2011-2012"
"Citrus Hills Int","M","White","Temporarily Doubled Up",9,"2011-2012"
"Clara Barton Elem","F","Asian-Asian Indian","Temporarily Doubled Up",3,"2011-2012"
"Clara Barton Elem","F","Asian-Chinese","Temporarily Doubled Up",10,"2011-2012"
"Clara Barton Elem","F","Asian-Laotian","Temporarily Doubled Up",1,"2011-2012"
"Clara Barton Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2011-2012"
"Clara Barton Elem","F","Black or African American","Temporarily Doubled Up",9,"2011-2012"
"Clara Barton Elem","F","Filipino","Temporarily Doubled Up",4,"2011-2012"
"Clara Barton Elem","F","Hispanic","Temporarily Doubled Up",47,"2011-2012"
"Clara Barton Elem","F","Hispanic","Temporarily Unsheltered",1,"2011-2012"
"Clara Barton Elem","F","White","Temporarily Doubled Up",18,"2011-2012"
"Clara Barton Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2011-2012"
"Clara Barton Elem","M","Asian-Chinese","Temporarily Doubled Up",5,"2011-2012"
"Clara Barton Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2011-2012"
"Clara Barton Elem","M","Asian-Japanese","Temporarily Doubled Up",1,"2011-2012"
"Clara Barton Elem","M","Asian-Other","Temporarily Doubled Up",1,"2011-2012"
"Clara Barton Elem","M","Black or African American","Temporarily Doubled Up",15,"2011-2012"
"Clara Barton Elem","M","Filipino","Temporarily Doubled Up",6,"2011-2012"
"Clara Barton Elem","M","Hispanic","Hotels/motels",1,"2011-2012"
"Clara Barton Elem","M","Hispanic","Temporarily Doubled Up",67,"2011-2012"
"Clara Barton Elem","M","White","Temporarily Doubled Up",17,"2011-2012"
"Corona Fundamental Int","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2011-2012"
"Corona Fundamental Int","F","Filipino","Temporarily Doubled Up",2,"2011-2012"
"Corona Fundamental Int","F","Hispanic","Hotels/motels",1,"2011-2012"
"Corona Fundamental Int","F","Hispanic","Temporarily Doubled Up",14,"2011-2012"
"Corona Fundamental Int","F","Hispanic","Temporary Shelters",1,"2011-2012"
"Corona Fundamental Int","F","White","Temporarily Doubled Up",2,"2011-2012"
